內湖捷運公寓三房,"22,000",30.33
石牌兩房精美公寓,"22,500",21.73
嘉禾邊間方正兩房,"10,000",15.03
萬大黃金透天,"90,000",59.8
政大旁美妝套房,"20,000",13.83
重慶南路優質辦公,"160,000",104.74
泳池電梯三房車位,"52,000",41.03
政大平面美妝公寓,"35,000",30.31
大安V精美兩房,"40,000",22.65
環球辦公捷運商辦,"160,000",92.04
內科捷運湖水裔,"33,000",17.45
園中園誠意出租,"45,000",37.3
長春路透天店面,"150,000",96.62
民生重劃地下店辦,"75,000",70.77
雙連捷運美妝,"26,000",11.8
光南氣派辦公,"330,000",217.87
綠油油華華濃,"50,000",46.86
名人巷公寓二樓,"38,000",30.86
夢想質感店面,"50,000",28.32
大湖高效益店面,"85,000",42.63
微風商圈三房車位,"70,000",47.17
國館林蔭六樓,"40,000",34.71
忠孝復興高樓辦公,"80,000",40.95
協大管理辦公,"30,000",14.05
饒河夜市面寬金店,"135,000",33.37
忠孝敦化高樓純辦,"60,000",30.02
東區大空間金店,"300,000",54.85
稀有大坪數辦公,"55,000",30.76
政大美妝電梯兩房,"35,000",47.43
古亭捷運一樓,"20,000",14.29
大直北安公寓二樓,"32,000",27.49
河景電梯管理３房,"35,000",27.4
文昌國小車庫一樓,"50,000",36.5
大安捷運管理四房,"60,000",52.21
士林夜市大東金店,"200,000",72.4
專租文市面寬店面,"60,000",24.29
近臨江街電梯華廈,"28,000",28.6
仁愛圓環電梯大樓,"25,000",16.01
師大靜巷青田福邸,"17,000",10.38
赤峰3樓美寓,"29,000",19.84
新裝潢公寓三樓,"21,000",29.02
萬大路角窗店面,"82,000",68.76
大馬路上純1樓店,"60,000",26.71
可購屋505萬,"8,000",7.27
忠孝新生林蔭三房,"50,000",38.71
萬年人潮金店面,"40,000",7.61
延吉中庭三房,"38,000",37
經典紐約上城,"19,888",14.41
台銀華廈電梯四房,"45,000",46.37
內江採光優質套房,"20,000",13.7
科技捷運電梯辦公,"60,000",49.27
10條通42號,"58,000",25.09
士林好好租雅房,"11,000",37.41
文化杏林美寓,"25,000",30.2
美國學校四房車位,"120,000",73.25
西湖捷運店面,"55,000",37.17
木新市場旁金店面,"50,000",17.96
東方林園樓中樓,"52,000",60.86
南京東路角窗金店,"120,000",15.37
近捷運黃金店辦,"180,000",63.19
人潮必經邊間金店,"70,000",36.32
白金漢裝潢辦公,"49,000",45.49
雙捷運便利套房,"16,000",14.34
堤頂交流道商辦,"70,000",79.5
水仙大廈面公園,"30,000",9.07
巨蛋高樓景觀住辦,"43,000",37.28
牯嶺金三角窗店面,"80,000",28.52
天西精華面寬店面,"100,000",33.25
公園優質管理美廈,"70,000",61.03
芝山捷運方便一樓,"38,000",19.4
美日僑電梯四房車,"138,000",68.63
幸安精美分租套房,"13,800",8.8
美學地圖坡平車位,"6,000",12.94
台大公館角窗金店,"150,000",42.35
環宇通商頂級商辦,"218,000",112.97
士東市場面寬店面,"68,000",45.87
北車問鼎匯兩房,"35,000",30.15
潭美街露台廠辦,"65,000",101.08
大直捷運精妝三房,"48,000",48.28
租面寬三角窗金店,"498,000",192.57
信義安和面寬店面,"160,000",43.46
國美時代廣場,"430,000",417.38
忠孝敦化超值四房,"470,000,000",46.84
近饒河黃金店面,"680,000,000",28.89
